fromIdx toIdx 
0 2 0
0 4 0
0 5 0
0 6 0
0 7 0
0 8 0
0 54 0
0 55 0
0 63 0
0 64 0
0 95 0
0 102 0
0 104 0
0 106 0
0 111 0
0 120 0
0 142 0
0 143 0
0 146 0
0 147 0
0 148 0
1 2 0
1 4 0
1 5 0
1 6 0
1 7 0
1 8 0
1 63 0
1 64 0
1 102 0
1 103 0
1 105 0
1 142 0
1 143 0
1 146 0
1 147 0
1 148 0
2 0 0
2 1 0
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 63 0
2 64 0
2 102 0
2 103 0
2 104 0
2 105 0
2 120 0
2 142 0
2 147 0
2 148 0
3 4 0
3 5 0
3 6 0
3 7 0
3 8 0
3 63 0
3 64 0
3 147 0
3 148 0
4 1 0
4 2 0
4 3 0
4 63 0
4 64 0
4 102 0
4 105 0
4 142 0
5 0 0
5 1 0
5 2 0
5 3 0
5 4 0
5 7 0
5 8 0
5 63 0
5 64 0
5 102 0
5 103 0
5 104 0
5 105 0
5 106 0
5 120 0
5 142 0
6 0 0
6 1 0
6 2 0
6 3 0
6 7 0
6 8 0
6 62 0
6 63 0
6 102 0
6 103 0
6 104 0
6 105 0
6 106 0
6 120 0
6 142 0
7 0 0
7 1 0
7 2 0
7 3 0
7 5 0
7 6 0
7 62 0
7 63 0
7 64 0
7 102 0
7 103 0
7 104 0
7 105 0
7 106 0
7 120 0
7 142 0
8 0 0
8 1 0
8 2 0
8 3 0
8 5 0
8 6 0
8 62 0
8 63 0
8 64 0
8 102 0
8 103 0
8 104 0
8 105 0
8 106 0
8 120 0
8 142 0
9 10 0
9 11 0
9 62 0
9 63 0
10 9 0
10 11 0
11 9 0
13 14 0
14 15 0
14 20 0
15 14 0
15 20 0
16 17 0
16 18 0
17 16 0
17 18 0
18 16 0
18 17 0
19 13 0
19 14 0
20 14 0
20 15 0
21 22 0
23 26 0
23 28 0
24 26 0
25 26 0
31 32 0
32 31 0
35 36 0
36 35 0
37 39 0
37 40 0
37 45 0
38 39 0
38 40 0
38 45 0
40 45 0
41 44 0
41 45 0
41 86 0
41 162 0
41 163 0
42 44 0
42 45 0
42 85 0
42 86 0
42 162 0
42 163 0
43 44 0
43 45 0
43 85 0
43 86 0
43 162 0
43 163 0
44 43 0
44 82 0
44 86 0
44 162 0
45 166 0
46 118 0
46 141 0
47 117 0
47 118 0
47 119 0
47 141 0
48 49 0
48 89 0
48 118 0
48 119 0
48 141 0
49 48 0
49 118 0
49 119 0
49 136 0
49 141 0
50 106 0
50 134 0
50 135 0
50 136 0
51 58 0
51 59 0
51 60 0
51 61 0
51 98 0
51 99 0
51 100 0
51 101 0
51 106 0
51 107 0
51 108 0
51 109 0
51 134 0
51 135 0
52 53 0
52 54 0
52 55 0
52 56 0
52 57 0
52 58 0
52 59 0
52 60 0
52 61 0
52 93 0
52 94 0
52 95 0
52 96 0
52 97 0
52 98 0
52 99 0
52 100 0
52 101 0
52 106 0
52 107 0
52 108 0
52 109 0
52 110 0
52 111 0
52 134 0
52 135 0
53 52 0
53 54 0
53 55 0
53 56 0
53 57 0
53 58 0
53 59 0
53 60 0
53 61 0
53 94 0
53 95 0
53 96 0
53 97 0
53 98 0
53 99 0
53 100 0
53 106 0
53 107 0
53 108 0
53 109 0
53 110 0
53 111 0
53 134 0
53 135 0
54 0 0
54 52 0
54 53 0
54 56 0
54 57 0
54 58 0
54 59 0
54 60 0
54 93 0
54 94 0
54 95 0
54 96 0
54 97 0
54 98 0
54 99 0
54 100 0
54 104 0
54 107 0
54 108 0
54 120 0
54 121 0
54 122 0
54 123 0
54 124 0
54 125 0
54 126 0
54 134 0
54 135 0
54 136 0
55 0 0
55 52 0
55 53 0
55 54 0
55 58 0
55 59 0
55 60 0
55 93 0
55 95 0
55 97 0
55 98 0
55 99 0
55 100 0
55 104 0
55 107 0
55 108 0
55 120 0
55 121 0
55 124 0
55 125 0
55 126 0
55 134 0
55 135 0
55 136 0
56 52 0
56 53 0
56 54 0
56 57 0
56 58 0
56 59 0
56 60 0
56 92 0
56 93 0
56 97 0
56 98 0
56 100 0
56 107 0
56 108 0
56 109 0
56 112 0
56 125 0
56 126 0
56 127 0
56 134 0
57 52 0
57 54 0
57 56 0
57 59 0
57 92 0
57 96 0
57 97 0
57 98 0
57 109 0
57 112 0
57 134 0
58 51 0
58 52 0
58 54 0
58 55 0
58 56 0
58 59 0
58 91 0
58 92 0
58 94 0
58 95 0
58 96 0
58 97 0
58 100 0
58 107 0
58 111 0
58 112 0
58 113 0
58 134 0
59 51 0
59 52 0
59 54 0
59 55 0
59 56 0
59 57 0
59 58 0
59 91 0
59 92 0
59 94 0
59 95 0
59 96 0
59 97 0
59 111 0
59 112 0
59 113 0
60 51 0
60 52 0
60 54 0
60 55 0
60 56 0
60 91 0
60 92 0
60 94 0
60 95 0
60 96 0
60 97 0
60 111 0
60 112 0
60 113 0
61 7 0
61 8 0
61 51 0
61 52 0
61 54 0
61 91 0
61 92 0
61 112 0
61 113 0
62 4 0
62 5 0
62 6 0
62 7 0
62 8 0
62 9 0
62 63 0
62 144 0
62 146 0
62 147 0
62 148 0
62 150 0
63 4 0
63 5 0
63 6 0
63 7 0
63 8 0
63 9 0
64 4 0
64 5 0
64 7 0
64 8 0
64 145 0
64 146 0
64 147 0
64 148 0
65 150 0
65 151 0
65 153 0
66 65 0
66 153 0
67 153 0
68 153 0
68 154 0
69 71 0
69 72 0
69 73 0
69 74 0
69 158 0
69 159 0
70 71 0
70 72 0
70 74 0
70 158 0
72 73 0
72 74 0
72 158 0
73 72 0
74 72 0
76 77 0
76 171 0
78 39 0
78 40 0
78 44 0
78 86 0
78 162 0
78 163 0
78 166 0
78 168 0
78 169 0
79 39 0
79 40 0
79 44 0
79 45 0
79 86 0
79 162 0
79 163 0
79 166 0
79 168 0
80 45 0
80 167 0
81 45 0
82 44 0
82 45 0
82 86 0
82 162 0
83 43 0
83 44 0
83 45 0
83 85 0
83 86 0
83 162 0
83 163 0
84 43 0
84 44 0
84 45 0
84 85 0
84 86 0
84 162 0
84 163 0
84 164 0
85 42 0
85 43 0
85 44 0
85 45 0
85 86 0
85 162 0
85 163 0
86 44 0
87 47 0
87 118 0
87 119 0
87 141 0
88 49 0
88 89 0
88 136 0
89 48 0
89 88 0
89 115 0
89 136 0
89 141 0
90 114 0
90 134 0
90 135 0
90 136 0
91 58 0
91 59 0
91 60 0
91 61 0
91 98 0
91 99 0
91 100 0
91 101 0
91 106 0
91 107 0
91 108 0
91 109 0
91 134 0
91 135 0
92 55 0
92 56 0
92 57 0
92 58 0
92 59 0
92 60 0
92 61 0
92 94 0
92 95 0
92 96 0
92 97 0
92 98 0
92 99 0
92 100 0
92 107 0
92 108 0
92 109 0
92 110 0
92 111 0
92 134 0
92 135 0
93 52 0
93 54 0
93 55 0
93 56 0
93 57 0
93 58 0
93 59 0
93 60 0
93 61 0
93 94 0
93 95 0
93 96 0
93 97 0
93 98 0
93 99 0
93 100 0
93 107 0
93 108 0
93 109 0
93 110 0
93 111 0
93 134 0
93 135 0
94 52 0
94 53 0
94 54 0
94 58 0
94 59 0
94 60 0
94 92 0
94 93 0
94 100 0
94 134 0
94 135 0
94 136 0
95 0 0
95 52 0
95 53 0
95 54 0
95 55 0
95 57 0
95 58 0
95 59 0
95 60 0
95 93 0
95 97 0
95 98 0
95 99 0
95 100 0
95 104 0
95 107 0
95 120 0
95 121 0
95 124 0
95 125 0
95 134 0
95 135 0
95 136 0
96 52 0
96 53 0
96 54 0
96 56 0
96 57 0
96 58 0
96 59 0
96 60 0
96 92 0
96 93 0
96 97 0
96 98 0
96 100 0
96 107 0
96 108 0
96 109 0
96 112 0
96 125 0
96 126 0
96 134 0
96 135 0
97 52 0
97 53 0
97 54 0
97 55 0
97 56 0
97 57 0
97 59 0
97 92 0
97 93 0
97 95 0
97 96 0
97 98 0
97 100 0
97 107 0
97 108 0
97 109 0
97 112 0
97 125 0
97 127 0
97 134 0
98 51 0
98 52 0
98 53 0
98 54 0
98 55 0
98 56 0
98 57 0
98 91 0
98 92 0
98 93 0
98 95 0
98 96 0
98 97 0
98 110 0
98 111 0
98 112 0
98 113 0
99 51 0
99 52 0
99 53 0
99 54 0
99 55 0
99 91 0
99 92 0
99 93 0
99 95 0
99 100 0
99 107 0
99 110 0
99 111 0
99 112 0
99 113 0
100 51 0
100 52 0
100 53 0
100 54 0
100 55 0
100 56 0
100 58 0
100 91 0
100 92 0
100 93 0
100 94 0
100 95 0
100 96 0
100 97 0
100 99 0
100 107 0
100 108 0
100 109 0
100 110 0
100 111 0
100 112 0
100 113 0
101 51 0
101 52 0
101 91 0
101 92 0
102 0 0
102 1 0
102 2 0
102 4 0
102 5 0
102 6 0
102 7 0
102 8 0
102 104 0
102 106 0
102 120 0
102 122 0
102 142 0
103 0 0
103 1 0
103 2 0
103 5 0
103 6 0
103 7 0
103 8 0
103 63 0
103 64 0
103 104 0
103 120 0
103 143 0
103 146 0
103 147 0
103 148 0
104 0 0
104 2 0
104 4 0
104 5 0
104 6 0
104 7 0
104 8 0
104 54 0
104 55 0
104 63 0
104 64 0
104 95 0
104 102 0
104 106 0
104 111 0
104 120 0
104 142 0
104 143 0
104 146 0
104 147 0
104 148 0
105 0 0
105 1 0
105 2 0
105 4 0
105 5 0
105 6 0
105 7 0
105 8 0
105 51 0
105 63 0
105 64 0
105 103 0
105 104 0
105 120 0
105 143 0
105 146 0
105 147 0
105 148 0
106 0 0
106 4 0
106 5 0
106 6 0
106 7 0
106 8 0
106 51 0
106 52 0
106 53 0
106 91 0
106 104 0
106 120 0
106 122 0
106 142 0
107 51 0
107 52 0
107 53 0
107 54 0
107 55 0
107 56 0
107 58 0
107 91 0
107 92 0
107 93 0
107 95 0
107 96 0
107 97 0
107 99 0
107 100 0
107 109 0
107 110 0
107 111 0
108 51 0
108 52 0
108 53 0
108 54 0
108 55 0
108 56 0
108 91 0
108 92 0
108 93 0
108 96 0
108 97 0
108 99 0
108 100 0
108 109 0
108 110 0
108 111 0
109 51 0
109 52 0
109 53 0
109 56 0
109 57 0
109 59 0
109 91 0
109 92 0
109 93 0
109 96 0
109 97 0
109 100 0
109 107 0
109 108 0
109 110 0
109 112 0
109 113 0
110 52 0
110 53 0
110 56 0
110 57 0
110 58 0
110 59 0
110 60 0
110 92 0
110 93 0
110 96 0
110 97 0
110 98 0
110 99 0
110 100 0
110 107 0
110 108 0
110 109 0
110 112 0
110 125 0
111 0 0
111 52 0
111 53 0
111 57 0
111 58 0
111 59 0
111 60 0
111 92 0
111 93 0
111 98 0
111 99 0
111 100 0
111 104 0
111 107 0
111 108 0
111 109 0
111 112 0
111 120 0
111 121 0
111 122 0
111 124 0
111 125 0
111 134 0
111 135 0
112 56 0
112 57 0
112 58 0
112 59 0
112 60 0
112 61 0
112 96 0
112 97 0
112 98 0
112 99 0
112 100 0
112 109 0
112 111 0
112 134 0
112 135 0
112 136 0
113 58 0
113 59 0
113 60 0
113 61 0
113 98 0
113 99 0
113 100 0
113 109 0
113 110 0
113 111 0
113 134 0
113 135 0
114 100 0
114 134 0
114 135 0
114 136 0
115 90 0
115 136 0
116 48 0
116 88 0
116 89 0
116 90 0
117 47 0
117 118 0
117 119 0
117 141 0
118 46 0
118 47 0
118 48 0
118 49 0
118 87 0
118 117 0
118 119 0
118 138 0
118 141 0
119 47 0
119 48 0
119 49 0
119 87 0
119 117 0
119 118 0
119 139 0
119 141 0
120 0 0
120 2 0
120 4 0
120 5 0
120 6 0
120 7 0
120 8 0
120 54 0
120 55 0
120 63 0
120 64 0
120 95 0
120 102 0
120 104 0
120 106 0
120 111 0
120 121 0
120 122 0
120 142 0
120 143 0
120 146 0
120 147 0
120 148 0
121 54 0
121 55 0
121 63 0
121 64 0
121 95 0
121 102 0
121 106 0
121 111 0
121 122 0
121 146 0
121 147 0
121 148 0
122 8 0
122 54 0
122 55 0
122 63 0
122 95 0
122 106 0
122 111 0
122 120 0
122 121 0
123 54 0
123 63 0
123 106 0
123 120 0
123 121 0
124 54 0
124 55 0
124 95 0
124 101 0
124 111 0
125 54 0
125 55 0
125 56 0
125 95 0
125 96 0
125 97 0
125 110 0
125 111 0
125 126 0
126 54 0
126 55 0
126 56 0
126 58 0
126 96 0
126 97 0
126 99 0
126 100 0
126 107 0
126 111 0
126 125 0
127 54 0
127 55 0
127 56 0
127 57 0
127 58 0
127 96 0
127 97 0
127 99 0
127 100 0
127 107 0
127 108 0
127 109 0
127 110 0
127 111 0
127 125 0
127 126 0
128 55 0
128 56 0
128 57 0
128 58 0
128 59 0
128 96 0
128 97 0
128 98 0
128 99 0
128 100 0
128 107 0
128 108 0
128 109 0
128 110 0
128 111 0
128 125 0
128 126 0
129 0 0
129 2 0
129 4 0
129 5 0
129 6 0
129 55 0
129 56 0
129 57 0
129 58 0
129 59 0
129 60 0
129 94 0
129 95 0
129 96 0
129 97 0
129 98 0
129 99 0
129 100 0
129 104 0
129 107 0
129 108 0
129 109 0
129 110 0
129 111 0
129 120 0
129 121 0
129 122 0
129 123 0
129 124 0
129 125 0
129 126 0
130 0 0
130 2 0
130 4 0
130 54 0
130 55 0
130 56 0
130 57 0
130 58 0
130 59 0
130 60 0
130 94 0
130 95 0
130 96 0
130 97 0
130 98 0
130 99 0
130 100 0
130 104 0
130 106 0
130 107 0
130 108 0
130 109 0
130 110 0
130 111 0
130 120 0
130 121 0
130 122 0
130 123 0
130 124 0
130 125 0
130 126 0
130 142 0
131 0 0
131 2 0
131 51 0
131 52 0
131 53 0
131 54 0
131 55 0
131 56 0
131 57 0
131 58 0
131 59 0
131 60 0
131 91 0
131 92 0
131 93 0
131 94 0
131 95 0
131 96 0
131 97 0
131 98 0
131 99 0
131 100 0
131 104 0
131 106 0
131 107 0
131 108 0
131 109 0
131 110 0
131 111 0
131 120 0
131 121 0
131 122 0
131 123 0
131 124 0
131 125 0
131 126 0
131 142 0
132 51 0
132 52 0
132 53 0
132 54 0
132 55 0
132 56 0
132 57 0
132 58 0
132 59 0
132 60 0
132 61 0
132 91 0
132 92 0
132 93 0
132 94 0
132 95 0
132 96 0
132 97 0
132 98 0
132 99 0
132 100 0
132 101 0
132 106 0
132 107 0
132 108 0
132 109 0
132 110 0
132 111 0
132 112 0
132 113 0
133 51 0
133 52 0
133 53 0
133 54 0
133 55 0
133 56 0
133 57 0
133 58 0
133 59 0
133 60 0
133 61 0
133 63 0
133 91 0
133 92 0
133 93 0
133 94 0
133 95 0
133 96 0
133 97 0
133 98 0
133 99 0
133 110 0
133 111 0
133 114 0
134 50 0
134 51 0
134 52 0
134 53 0
134 54 0
134 55 0
134 56 0
134 57 0
134 58 0
134 59 0
134 60 0
134 61 0
134 63 0
134 91 0
134 92 0
134 93 0
134 94 0
134 95 0
134 96 0
134 97 0
134 111 0
134 112 0
134 113 0
134 114 0
135 50 0
135 51 0
135 52 0
135 53 0
135 54 0
135 55 0
135 56 0
135 57 0
135 90 0
135 91 0
135 92 0
135 93 0
135 94 0
135 95 0
135 96 0
135 111 0
135 112 0
135 113 0
135 114 0
136 50 0
136 54 0
136 55 0
136 56 0
136 89 0
136 90 0
136 91 0
136 94 0
136 95 0
136 112 0
136 113 0
136 114 0
136 115 0
137 46 0
137 47 0
137 48 0
137 49 0
137 50 0
137 87 0
137 88 0
137 89 0
137 90 0
137 91 0
137 114 0
137 115 0
137 116 0
137 117 0
137 118 0
137 119 0
137 134 0
